City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,arraial do cabo,-22.9661,-42.0278,25.98,78,0,8.75,BR,1702684263
303,marco island,25.9363,-81.7157,20.58,79,75,4.12,US,1702684229
304,yantarnyy,54.8717,19.9381,4.3,90,100,9.06,RU,1702684264
305,touros,-5.1989,-35.4608,26.51,81,93,5.51,BR,1702684264
306,jeddah,21.5169,39.2192,25.92,15,0,1.03,SA,1702684070
307,queenstown,-31.8976,26.8753,13.86,90,100,2.15,ZA,1702684264
308,urengoy,65.9667,78.3667,-31.4,100,15,0.46,RU,1702684264
309,chonchi,-42.6128,-73.8092,12.56,98,100,2.0,CL,1702684265
310,nigel,-26.4314,28.4771,17.44,76,99,0.58,ZA,1702684265
311,antalaha,-14.9003,50.2788,23.6,89,71,2.22,MG,1702684265
312,vilyuchinsk,52.9306,158.4028,-3.85,71,76,9.93,RU,1702684265
313,karlovac,45.4872,15.5478,4.52,86,21,1.41,HR,1702684265
314,isla del bosque,22.7333,-105.85,24.14,62,0,5.01,MX,1702684265
315,mugia,43.1041,-9.2179,9.39,77,1,2.81,ES,1702684266
316,hanceville,34.0607,-86.7675,12.95,56,1,2.86,US,1702684266
317,san ignacio de velasco,-16.3667,-60.95,26.59,63,100,2.01,BO,1702684266
318,ouesso,1.6136,16.0517,21.94,65,98,0.37,CG,1702684266
319,kavieng,-2.5744,150.7967,26.58,87,100,7.63,PG,1702684266
320,broken hill,-31.95,141.4333,21.07,33,0,4.64,AU,1702684266
321,mil'kovo,55.6078,37.7956,-11.64,96,65,3.35,RU,1702684267
322,yakeshi,49.2833,120.7333,-40.32,100,94,1.27,CN,1702684267
323,ciutadella,40.0011,3.8414,13.45,62,4,13.54,ES,1702684267
324,fortuna,40.5982,-124.1573,15.52,66,0,0.0,US,1702684267
325,newquay,50.4132,-5.0819,10.42,100,100,3.6,GB,1702684267
326,vila do maio,15.1333,-23.2167,24.44,73,100,5.28,CV,1702684267
327,cabo san lucas,22.8909,-109.9124,27.64,70,0,1.54,MX,1702684268
